Αρχικό σήμα, FCS, Σήμα προς αποστολή, Λαμβανόμενο σήμα, Έλεγχος από τον αλγόριθμο, Πραγματικός έλεγχος, Bits που αλλοιώθηκαν
00001010011110101010, 11001, 0000101001111010101011001, 0000101001111010101011001, True, True, 0
00100111000011010000, 11100, 0010011100001101000011100, 0010011100001101000011100, True, True, 0
10101111000111110000, 11010, 1010111100011111000011010, 1010111100011111000011010, True, True, 0
00111001110011101001, 10000, 0011100111001110100110000, 0011100111001110100110000, True, True, 0
00100101011100011010, 11001, 0010010101110001101011001, 0010010101110001101011001, True, True, 0
00001101011100000100, 11100, 0000110101110000010011100, 0000110101110000010011100, True, True, 0
00100000111111110101, 01101, 0010000011111111010101101, 0010000011111111010101101, True, True, 0
10101110101001111010, 11110, 1010111010100111101011110, 1010111010100111101011110, True, True, 0
10010111010000111011, 11001, 1001011101000011101111001, 1001011101000011101111001, True, True, 0
11101000011101111100, 01010, 1110100001110111110001010, 1110100001110111110001010, True, True, 0
10101010001001001011, 00111, 1010101000100100101100111, 1010101000100100101100111, True, True, 0
10110011100101010101, 00111, 1011001110010101010100111, 1011001110010101010100111, True, True, 0
11011101001000110010, 01010, 1101110100100011001001010, 1101110100100011001001010, True, True, 0
10001111000111001011, 10011, 1000111100011100101110011, 1000111100011100101110011, True, True, 0
11001010101100000100, 01100, 1100101010110000010001100, 1100101010110000010001100, True, True, 0
00111101001000101001, 01011, 0011110100100010100101011, 0011110100100010100101011, True, True, 0
01010110100000100001, 00001, 0101011010000010000100001, 0101011010000010000100001, True, True, 0
10000111110110101011, 01100, 1000011111011010101101100, 1000011111011010101101100, True, True, 0
11011010100101010101, 01011, 1101101010010101010101011, 1101101010010101010101011, True, True, 0
11101110100100110111, 11001, 1110111010010011011111001, 1110111010010011011111001, True, True, 0
00000000101000000101, 00110, 0000000010100000010100110, 0000000010100000010100110, True, True, 0
11010000111001010000, 11110, 1101000011100101000011110, 1101000011100101000011110, True, True, 0
11110011100100100000, 11111, 1111001110010010000011111, 1111001110010010000011111, True, True, 0
00010101110110111011, 11011, 0001010111011011101111011, 0001010111011011101111011, True, True, 0
10010110000011100010, 10100, 1001011000001110001010100, 1001011000001110001010100, True, True, 0
01100001100001001110, 10111, 0110000110000100111010111, 0110000110000100111010111, True, True, 0
01101100010111011110, 11101, 0110110001011101111011101, 0110110001011101111011101, True, True, 0
11010010011101010110, 01101, 1101001001110101011001101, 1101001001110101011001101, True, True, 0
00001111111101111101, 00101, 0000111111110111110100101, 0000111111110111110100101, True, True, 0
00111010100000111000, 00011, 0011101010000011100000011, 0011101010000011100000011, True, True, 0
01010100001011011101, 00000, 0101010000101101110100000, 0101010000101101110100000, True, True, 0
10100001100000000001, 00001, 1010000110000000000100001, 1010000110000000000100001, True, True, 0
10000110100011110000, 01111, 1000011010001111000001111, 1000011010001111000001111, True, True, 0
10000100010000001110, 01010, 1000010001000000111001010, 1000010001000000111001010, True, True, 0
10111001100011000001, 11001, 1011100110001100000111001, 1011100110001100000111001, True, True, 0
01100000010110111101, 11011, 0110000001011011110111011, 0110000001011011110111011, True, True, 0
10111111001011001000, 11010, 1011111100101100100011010, 1011111100101100100011010, True, True, 0
00011001110010101110, 10100, 0001100111001010111010100, 0001100111001010111010100, True, True, 0
10111010001101110100, 11100, 1011101000110111010011100, 1011101000110111010011100, True, True, 0
01001010111111000000, 01101, 0100101011111100000001101, 0100101011111100000001101, True, True, 0
11101010000111001100, 11011, 1110101000011100110011011, 1110101000011100110011011, True, True, 0
00010011101100000110, 10010, 0001001110110000011010010, 0001001110110000011010010, True, True, 0
00101100010001111010, 10110, 0010110001000111101010110, 0010110001000111101010110, True, True, 0
11110111111011101000, 11101, 1111011111101110100011101, 1111011111101110100011101, True, True, 0
